Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Egypt,38610,38570,38150,37890,37600,37420,37450,37760,38130,38740,39370,40110,40930,41420,41830,42080,42600,43690,44290,44680,45220,45730,46190,46770,47220
Libya,1290,1350,1380,1400,1400,1460,1480,1510,1550,1570,1620,1660,1770,1980,2370,2900,2990,2940,2760,2790,2870,2860,2830,2840,2840
Morocco,1230,1290,1320,1350,1380,1360,1400,1460,1510,1560,1620,1670,1700,1750,1800,1870,1900,2000,2070,2170,2240,2320,2380,2450,2570
Sudan,2570,3050,3310,3750,4090,5090,6220,9410,13460,18590,20870,23230,24130,24890,25440,22000,21450,20960,20330,19730,19140,19510,19770,19880,19860
Tunisia,490,480,490,500,500,490,510,540,540,540,550,560,570,570,570,580,590,610,630,660,680,700,710,720,760
Western Sahara,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,4680,5530,6410,7480,8430,8820,9010,9070,9060
Bahrain,670,730,770,790,770,760,830,910,980,1080,1160,1200,1230,1320,1330,1440,1510,1590,1660,1730,1820,1910,1970,2050,2130
Gaza Str/W Bank,3060,3000,2980,3010,3060,3120,3190,3210,3230,3260,3260,3210,3180,3110,3070,3020,3070,3110,3160,3190,3230,3180,3080,3030,2970
Iran,19260,19920,20440,20650,21360,22250,23100,24310,25370,26720,28110,30210,31790,34020,36480,39640,45490,52510,57080,61690,66150,69010,71380,74650,77470
Iraq,16400,20280,22420,24390,26480,28480,30010,33860,35500,37100,39500,42070,44580,49000,51830,54980,57430,61390,66450,70870,74680,84310,87660,93540,99680
Israel,7110,7090,7230,7330,7380,7510,7750,8100,8440,8950,9440,9890,10300,10490,10700,10840,10960,11100,11190,11240,11350,11730,11770,11830,12240
Jordan,2980,3200,3270,3400,3480,3620,3730,3880,4000,4160,4310,4520,4820,5060,5250,5440,5680,6040,6260,6530,6950,7440,7790,8110,8450
Kuwait,1740,1880,2050,2190,2510,2630,2710,2910,3040,3120,3320,3470,3650,3970,4320,4720,5380,5840,6200,6580,6920,7190,7250,7340,7460
Lebanon,77670,78300,78660,78680,79070,79850,80970,82760,83680,84900,85940,87620,88760,89270,89640,90030,90850,91710,92480,93290,93720,94310,94850,95490,96460
